종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),거래대금(억),5일평균거래대금(억),20일평균거래대금(억),거래대금활력,추세상승,정배열,추세품질점수,MA5,MA10,MA20,음봉매집률,시가총액,PER,ROE,뉴스테마가점,뉴스톤계수,뉴스부정키워드수,테마가점완화,눌림목가감,눌림목신호,점수변화(안정화),신호신뢰도,신호등급,신호레짐,종목체급,연기금5일강도(%),연기금10일강도(%),기관10일동행강도(%),수급흡수율,수급지속일수,외인5일강도(%),외인10일강도(%),투신5일강도(%),사모5일강도(%),외인5일매수일수,연기금5일매수일수,5일수익률,20일수익률,20일고점낙폭,20일전고점돌파율,수급품질점수,주도주점수,기관동행점수,체급별수급점수,핵심수급주체,핵심수급상태,체급별수급사유,시장대비5일(%p),시장대비20일(%p),V5주도성점수,V5주도성사유,V5진입상태,V5진입확인,V5진입품질,V5진입사유,V5종합점수,시장위험레버,진입유형,전략슬리브,스윙우선순위,진입코멘트,매도점검,V5추천상태,V5추천사유,매수후보
원익IPS,240810,KOSDAQ,분류안됨,분류안됨,50.3,50,52.79,1.12,상승장 (보수적 반영),128800.0,6.00823045267489,-0.264553335668584,0.1103717752605975,1.9657982427893816,-0.7447654490425143,6,2,112.7,8.5,64.8,199.8,1849.3,1075.9,913.4,1.18,True,True,100.0,119220.0,117120.0,114260.0,0.844,63219.0683127572,33.69,9.05,0.0,0.35,1,0.0,-0.4,대기,-6.01,42.67,High,RiskOn,중형,0.1321,0.3236,2.0742,0.368,4,0.5386,-1.7379,0.1569,-0.0266,5,4,16.984559491371478,21.052631578947366,0.0,6.00823045267489,46.8,87.38,23.31,58.91,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 82, 투신·사모 71, 지속성 80",18.47,19.95,97.62,"시장대비 5일 +18.5%p·20일 +19.9%p, 거래대금 상위 88%, 추세 100",돌파대기,False,80.0,"돌파대기: 20일 +21.1%, 고점대비 +0.0%, MA20 이격 +12.7%, 거래대금 1.18배",72.96,RiskOn,과열주의,관찰,59.77,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,제외,연기금 수급 58.9 · 주도성 97.6 · 돌파대기,관찰
한화엔진,82740,KOSPI,분류안됨,분류안됨,38.34,37,52.93,1.17,상승장 (보수적 반영),50000.0,-2.5341130604288558,-1.473365006645954,0.3141116364441226,1.1736247641702486,0.3635236938632966,0,0,103.8,5.4,54.5,40.8,203.2,450.1,362.6,1.24,True,True,100.0,50030.0,49420.0,48157.5,0.2442,41723.196881091615,18.43,36.6,0.0,0.35,1,0.0,1.7,관심,-3.43,49.49,High,RiskOn,중형,0.0672,0.3547,1.5599,0.2107,2,-0.6843,-1.0598,0.364,0.0941,1,2,-1.1857707509881465,11.358574610244986,-5.660377358490565,-5.660377358490565,28.44,85.1,15.07,55.73,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 78, 투신·사모 92, 지속성 40",0.3,10.25,67.02,"시장대비 5일 +0.3%p·20일 +10.2%p, 거래대금 상위 71%, 추세 100",눌림확인,True,100.0,"눌림확인: 20일 +11.4%, 고점대비 -5.7%, MA20 이격 +3.8%, 거래대금 1.24배",63.83,RiskOn,눌림목,수급스윙,59.46,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,통과대기,연기금 수급 55.7 · 주도성 67.0 · 눌림확인,관찰
디아이,3160,KOSPI,분류안됨,분류안됨,53.92,73,47.47,-1.01,상승장 (보수적 반영),35450.0,12.898089171974526,0.4185553442809674,1.7120554980227531,1.6561085930007646,0.7507174001225998,1,5,121.5,11.0,79.9,557.0,662.2,220.5,183.0,1.2,True,True,100.0,31830.0,31030.0,29187.5,0.2628,10032.124203821655,0.0,0.0,0.0,0.35,1,0.0,-0.4,대기,8.0,45.45,High,RiskOn,중형,0.6253,0.7542,1.5977,1.1155,4,1.3422,1.2867,0.4564,0.2821,2,5,20.783645655877336,55.824175824175825,0.0,12.898089171974526,48.7,31.65,35.0,98.0,연기금,유지,"중형주 핵심 연기금, 외국인 94, 연기금 100, 투신·사모 97, 지속성 100",22.26,54.72,90.81,"시장대비 5일 +22.3%p·20일 +54.7%p, 거래대금 상위 54%, 추세 100",돌파대기,False,80.0,"돌파대기: 20일 +55.8%, 고점대비 +0.0%, MA20 이격 +21.5%, 거래대금 1.20배",87.63,RiskOn,과열주의,관찰,58.89,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,제외,연기금 수급 98.0 · 주도성 90.8 · 돌파대기,관찰
RF머트리얼즈,327260,KOSDAQ,분류안됨,분류안됨,49.96,55,44.53,-2.19,상승장 (보수적 반영),49100.0,1.0288065843621297,-6.006759198098373,1.818762677683548,1.5402655319428509,1.261578716624708,0,0,123.7,27.9,74.8,56.3,334.0,493.5,406.4,1.21,True,True,100.0,46510.0,44105.0,39705.0,0.0,8831.938271604937,0.0,0.0,0.0,0.35,1,0.0,-1.0,대기,-2.68,45.91,High,RiskOn,중형,0.0368,1.4809,3.498,-0.0532,2,-0.8895,-2.8166,0.2244,-0.0612,3,2,9.843400447427285,43.35766423357663,0.0,1.0288065843621297,12.0,47.28,27.82,59.97,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 98, 투신·사모 73, 지속성 40",11.32,42.25,94.83,"시장대비 5일 +11.3%p·20일 +42.2%p, 거래대금 상위 74%, 추세 100",돌파대기,False,80.0,"돌파대기: 20일 +43.4%, 고점대비 +0.0%, MA20 이격 +23.7%, 거래대금 1.21배",71.63,RiskOn,과열주의,관찰,56.99,연기금 10일 순매수 · 기관 동행 · 이격/RSI 과열,익절/추격주의,제외,연기금 수급 60.0 · 주도성 94.8 · 돌파대기,관찰
ISC,95340,KOSDAQ,분류안됨,반도체소켓;반도체,39.77,36,54.26,1.7,상승장 (보수적 반영),198400.0,6.494900697799255,-2.5040960731585784,0.4178338629279871,2.5063557989925997,0.1317948157582769,0,1,110.5,2.4,67.1,145.2,291.6,205.6,273.7,0.75,True,True,100.0,189220.0,188070.0,179610.0,0.0206,42054.83628556092,52.09,10.6,2.264,0.35,1,0.0,0.0,대기,-4.83,51.45,High,RiskOn,중형,0.0312,0.1647,2.0164,0.2602,3,-0.1342,-1.918,0.2198,-0.0146,2,3,10.099889012208664,28.664072632944237,0.0,3.3871808233454814,32.06,61.09,19.59,47.53,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 58, 투신·사모 77, 지속성 60",11.58,27.56,92.62,"시장대비 5일 +11.6%p·20일 +27.6%p, 거래대금 상위 63%, 추세 100",돌파대기,False,60.0,"돌파대기: 20일 +28.7%, 고점대비 +0.0%, MA20 이격 +10.5%, 거래대금 0.75배",63.23,RiskOn,관찰,관찰,53.29,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,관찰,연기금 수급 47.5 · 주도성 92.6 · 돌파대기,관찰
F&F,383220,KOSPI,분류안됨,분류안됨,35.57,35,58.67,3.47,상승장 (보수적 반영),68600.0,-1.0101010101010055,-0.2439563360558568,0.3668378786842092,-0.0926419933361727,-0.02435986927582,1,19,103.4,0.6,64.5,83.2,34.5,29.6,40.5,0.73,True,True,100.0,68180.0,66860.0,66345.0,0.3644,26277.858585858587,4.77,23.16,0.0,0.35,1,0.0,-0.3,회피,-0.93,48.14,High,RiskOn,중형,0.0722,0.1919,0.231,0.6701,4,-0.1059,-0.1942,-0.0022,0.0862,1,5,3.003003003003002,8.031496062992115,-1.0101010101010055,-1.0101010101010055,27.8,54.67,35.0,24.11,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 68, 투신·사모 60, 지속성 100",4.48,6.93,61.82,"시장대비 5일 +4.5%p·20일 +6.9%p, 거래대금 상위 20%, 추세 100",눌림대기,False,66.67,"눌림대기: 20일 +8.0%, 고점대비 -1.0%, MA20 이격 +3.4%, 거래대금 0.73배",43.35,RiskOn,관찰,관찰,52.93,연기금 10일 순매수 · 기관 동행,보유/관찰,제외,연기금 수급 24.1 · 주도성 61.8 · 눌림대기,관찰
현대지에프홀딩스,5440,KOSPI,분류안됨,분류안됨,33.71,37,56.43,2.57,상승장 (보수적 반영),13160.0,4.113924050632911,-0.4798650710668744,0.5507083076447814,-0.0028403222584684,0.0443396215037758,0,24,105.0,1.0,62.5,145.1,62.9,46.1,34.4,1.34,True,True,100.0,13102.0,13099.0,12529.5,0.384,24134.64873417721,5.68,11.18,0.0,0.35,1,0.0,-0.3,회피,5.98,45.04,High,RiskOn,중형,0.18,0.4106,0.4598,0.6439,5,-0.1965,-0.3645,0.0057,0.0043,1,5,-5.187319884726227,12.574850299401197,-5.187319884726227,-5.187319884726227,39.2,55.2,35.0,24.95,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 87, 투신·사모 25, 지속성 100",-3.71,11.47,52.52,"시장대비 5일 -3.7%p·20일 +11.5%p, 거래대금 상위 17%, 추세 100",눌림대기,False,83.33,"눌림대기: 20일 +12.6%, 고점대비 -5.2%, MA20 이격 +5.0%, 거래대금 1.34배",42.75,RiskOn,관찰,관찰,51.93,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행,보유/관찰,제외,연기금 수급 24.9 · 주도성 52.5 · 눌림대기,관찰
LS에코에너지,229640,KOSPI,분류안됨,분류안됨,39.35,39,56.43,2.57,상승장 (보수적 반영),60100.0,-0.6611570247933907,-1.016769919844301,0.615565316957884,0.2100460311541788,0.122467903549855,0,15,122.7,8.1,69.5,46.3,134.2,297.2,101.2,2.94,True,True,100.0,56010.0,52170.0,48977.5,0.2688,18405.50082644628,33.59,21.43,0.0,0.35,1,0.0,-0.4,대기,-2.76,44.99,High,RiskOn,중형,0.2776,0.4524,0.8505,0.3295,2,-0.9064,-1.0538,0.2367,0.1201,1,5,24.818276220145385,40.09324009324009,-0.6611570247933907,-0.6611570247933907,32.38,34.56,35.0,70.01,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 94, 투신·사모 88, 지속성 100",26.3,38.99,87.62,"시장대비 5일 +26.3%p·20일 +39.0%p, 거래대금 상위 38%, 추세 100",돌파대기,False,60.0,"돌파대기: 20일 +40.1%, 고점대비 -0.7%, MA20 이격 +22.7%, 거래대금 2.94배",71.81,RiskOn,과열주의,관찰,50.9,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,제외,연기금 수급 70.0 · 주도성 87.6 · 돌파대기,관찰
올릭스,226950,KOSDAQ,분류안됨,분류안됨,23.68,29,42.59,-2.96,상승장 (보수적 반영),106400.0,-4.659498207885305,0.3153071345947286,-0.2395853631331075,0.2820652813352061,0.1881304469966124,2,0,103.1,6.2,52.9,96.6,297.0,299.9,239.7,1.25,True,True,100.0,110320.0,105910.0,103190.0,0.0,24206.0,-155.45,-18.83,0.0,0.35,1,0.0,1.7,관심,8.0,44.27,Medium,RiskOn,중형,0.0385,-0.0355,1.1562,0.9424,5,-0.1229,-0.5121,0.6076,0.3485,3,3,6.2937062937062915,4.109589041095885,-6.8301225919439545,-6.8301225919439545,64.4,67.53,17.67,37.89,연기금,유지,"중형주 핵심 연기금, 외국인 0, 연기금 22, 투신·사모 100, 지속성 60",7.77,3.0,71.52,"시장대비 5일 +7.8%p·20일 +3.0%p, 거래대금 상위 60%, 추세 100",눌림대기,False,83.33,"눌림대기: 20일 +4.1%, 고점대비 -6.8%, MA20 이격 +3.1%, 거래대금 1.25배",53.84,RiskOn,눌림목,수급스윙,50.36,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,관찰,연기금 수급 37.9 · 주도성 71.5 · 눌림대기,관찰
삼화콘덴서,1820,KOSPI,분류안됨,분류안됨,50.1,55,48.03,-0.79,상승장 (보수적 반영),145600.0,0.6915629322268302,1.7941525217663714,-0.9558886434244688,1.547285099658508,3.4334752170697045,0,0,119.6,52.1,75.0,96.3,1689.2,1577.4,1320.0,1.2,True,True,100.0,142840.0,133450.0,121695.0,1.0,15134.948824343017,62.88,4.62,0.0,0.35,1,0.0,-1.0,대기,0.26,43.05,High,RiskOn,대형,-0.1428,-1.2877,2.2065,-0.0113,3,0.6887,0.5734,0.267,-0.5671,2,2,4.597701149425282,57.57575757575757,0.0,0.6915629322268302,16.0,55.08,17.3,43.08,외국인,유지,"대형주 핵심 외국인, 외국인 82, 연기금 0, 투신·사모 0, 지속성 40",6.08,56.47,93.98,"시장대비 5일 +6.1%p·20일 +56.5%p, 거래대금 상위 94%, 추세 100",돌파대기,False,60.0,"돌파대기: 20일 +57.6%, 고점대비 +0.0%, MA20 이격 +19.6%, 거래대금 1.20배",61.08,RiskOn,과열주의,관찰,49.38,기관 동행 · 이격/RSI 과열,수급훼손,제외,외국인 수급 43.1 · 주도성 94.0 · 돌파대기,관찰
