종목명,일자,종가,외인,연기금,투신,사모,거래량,거래대금(억)
삼성전자우,20260511,194900.0,258028.3049,-1404.0596,2709.8896,-39866.795,6586322.0,12836.741578
삼성전자우,20260508,182700.0,-226659.447,12032.0739,-1945.2069,-30019.9851,5449257.0,9955.792539
삼성전자우,20260507,185400.0,-675597.9708,52097.5854,-10691.8326,9305.4114,9583652.0,17768.090808
삼성전자우,20260506,189300.0,-340555.2432,42820.6065,6521.1957,30452.8803,11334882.0,21456.931626
삼성전자우,20260504,169600.0,171285.6544,-22679.4208,-14796.5824,6672.7424,4403269.0,7467.944224
삼성전자우,20260430,158300.0,-177373.0921,-6299.3902,-4982.9674,7804.5066,4535837.0,7180.229971
삼성전자우,20260429,163500.0,-23818.5165,-17888.6985,-8780.277,11258.7735,3955050.0,6466.50675
삼성전자우,20260428,160000.0,-4528.48,-25335.84,-6257.44,9387.36,4608249.0,7373.1984
삼성전자우,20260427,160100.0,-16845.722,-36642.8875,-9684.9293,4560.7687,5284463.0,8460.425263
삼성전자우,20260424,153700.0,-70517.56,-29840.7013,-4766.8518,203.0377,2945564.0,4527.331868
삼성전자우,20260423,156200.0,55963.8046,-4619.615,-7243.775,13256.8502,4651060.0,7264.95572
삼성전자우,20260422,151300.0,8888.2698,144.0376,-4172.4001,-2650.1708,2656126.0,4018.718638
삼성전자우,20260421,150400.0,95356.0064,2776.2336,3907.8432,10085.5232,2813523.0,4231.538592
삼성전자우,20260420,146400.0,21486.8352,4395.5136,-8674.0536,-1485.228,2032691.0,2975.859624
삼성전자우,20260417,146600.0,-66002.985,-5419.9486,1609.2282,8644.4156,2564565.0,3759.65229
삼성전자우,20260416,149000.0,129712.844,6677.882,-2618.526,747.384,3148118.0,4690.69582
삼성전자우,20260415,144600.0,44206.6782,3708.5562,-10843.2648,-2093.9526,3249737.0,4699.119702
삼성전자우,20260414,141400.0,103598.5482,13901.034,-3259.1286,4525.9312,2967017.0,4195.362038
삼성전자우,20260413,138500.0,8854.028,293.066,-9069.9495,-13445.7185,1994912.0,2762.95312
삼성전자우,20260410,140400.0,82394.442,3362.0184,-1431.5184,1882.6236,2483679.0,3487.085316
삼성전자우,20260409,137700.0,154487.5578,3535.1721,-3554.5878,-4481.1711,3647140.0,5022.11178
삼성전자우,20260408,139600.0,75367.5272,20105.0524,-4327.7396,-7893.8216,4913886.0,6859.784856
삼성전자우,20260407,130900.0,-56144.7117,13474.846,-94.5098,-12301.8511,3375943.0,4419.109387
삼성전자우,20260406,129100.0,-4911.3513,5672.2667,-2254.8606,27441.2378,2537111.0,3275.410301
삼성전자우,20260403,124400.0,8035.1204,4165.2852,1484.3408,8258.1696,1817737.0,2261.264828
삼성전자우,20260402,118600.0,-89850.767,15178.5466,1615.2134,-11461.3854,4130576.0,4898.863136
삼성전자우,20260401,127500.0,40673.265,2068.6875,565.7175,-2646.0075,3439425.0,4385.266875
삼성전자우,20260331,114000.0,-41666.316,16660.188,2883.06,-6692.598,6308861.0,7192.10154
삼성전자우,20260330,121100.0,6395.6543,8645.8134,-5106.3026,-27486.3092,3126874.0,3786.644414
SK스퀘어,20260512,1126000.0,-30055.192,12780.1,-8306.502,-34532.168,1249470.0,14069.0322
SK스퀘어,20260511,1187000.0,-110481.212,112634.43,58434.823,43536.786,1345499.0,15971.07313
SK스퀘어,20260508,1098000.0,-134344.692,4297.572,6706.584,-11029.41,720073.0,7906.40154
SK스퀘어,20260507,1099000.0,-278736.073,53575.151,34289.899,-20032.572,1137814.0,12504.57586
SK스퀘어,20260506,1089000.0,-428422.401,23932.953,44727.408,3412.926,1671250.0,18199.9125
SK스퀘어,20260504,991000.0,-109457.932,2011.73,21558.214,16507.087,1472464.0,14592.11824
SK스퀘어,20260430,841000.0,-44894.262,-3776.09,-429.751,-6724.636,623120.0,5240.4392
SK스퀘어,20260429,830000.0,-46945.63,-1967.1,11491.35,3739.15,858586.0,7126.2638
SK스퀘어,20260428,811000.0,-28501.784,24579.788,-2089.136,-253.032,598053.0,4850.20983
SK스퀘어,20260427,789000.0,36000.492,14149.137,-1465.173,-3978.138,536940.0,4236.4566
SK스퀘어,20260424,725000.0,9320.6,2989.175,-7372.525,-110.2,376451.0,2729.26975
SK스퀘어,20260423,728000.0,43631.952,12579.112,-200.2,2007.096,659394.0,4800.38832
SK스퀘어,20260422,720000.0,61048.08,-2537.28,-16323.12,-10650.24,492552.0,3546.3744
SK스퀘어,20260421,718000.0,-50339.698,18699.592,4814.19,-7312.112,463466.0,3327.68588
SK스퀘어,20260420,701000.0,-26089.117,25666.414,-2706.561,3481.867,501909.0,3518.38209
SK스퀘어,20260417,682000.0,19520.204,-12353.066,-10906.544,-4307.512,401708.0,2739.64856
SK스퀘어,20260416,690000.0,23812.59,-7051.8,18104.91,189.75,470160.0,3244.104
SK스퀘어,20260415,665000.0,-11978.645,21116.41,-6157.9,-1867.32,606102.0,4030.5783
SK스퀘어,20260414,640000.0,18627.84,22357.76,14277.12,-6168.32,665668.0,4260.2752
SK스퀘어,20260413,580000.0,25459.1,9338.0,10202.2,-2712.08,404119.0,2343.8902
SK스퀘어,20260410,568000.0,-12485.208,2575.312,5314.208,-11291.272,372726.0,2117.08368
SK스퀘어,20260409,560000.0,6762.0,6029.52,14074.48,-210.56,482775.0,2703.54
SK스퀘어,20260408,578000.0,-36963.1,22672.628,10126.56,16110.016,752399.0,4348.86622
SK스퀘어,20260407,499000.0,17629.67,5826.324,-4396.689,6365.743,334107.0,1667.19393
SK스퀘어,20260406,487000.0,18633.594,-6348.045,-8224.456,-184.573,299840.0,1460.2208
SK스퀘어,20260403,483000.0,-20712.006,11998.686,5638.059,-8098.461,457740.0,2210.8842
SK스퀘어,20260402,469500.0,93260.0715,-15101.937,-23129.9175,-19020.384,682876.0,3206.10282
SK스퀘어,20260401,501000.0,-125446.893,5449.878,7902.774,10813.584,904715.0,4532.62215
SK스퀘어,20260331,466500.0,26678.6685,-20605.305,-12808.6905,-77409.6105,1428264.0,6662.85156
SK스퀘어,20260330,510000.0,-2573.46,-22223.76,-11729.49,-1738.59,625397.0,3189.5247
현대차,20260512,646000.0,-240756.448,13317.29,27788.982,-5991.004,4855477.0,31366.38142
현대차,20260511,646000.0,-4913.476,-6915.43,50189.678,10563.392,2569392.0,16598.27232
현대차,20260508,613000.0,189772.54,47469.494,51389.629,71431.051,5020568.0,30776.08184
현대차,20260507,572000.0,-33924.176,11551.54,2704.416,2411.552,2082177.0,11910.05244
현대차,20260506,550000.0,154477.95,920.15,-12022.45,-6399.8,1690524.0,9297.882
현대차,20260504,539000.0,13254.01,-3.234,4987.906,-1903.209,854165.0,4603.94935
현대차,20260430,531000.0,-219274.326,-7597.548,-6330.582,-5437.44,1150241.0,6107.77971
현대차,20260429,556000.0,-116798.364,6604.724,16197.948,6695.908,971755.0,5402.9578
현대차,20260428,555000.0,375959.22,17440.32,14669.76,13251.735,2585417.0,14349.06435
현대차,20260427,524000.0,30994.076,-10373.628,2945.404,-2848.988,930365.0,4875.1126
현대차,20260424,513000.0,-200440.899,-32205.627,-16159.5,-16331.355,1228355.0,6301.46115
현대차,20260423,532000.0,-86048.34,-3120.712,-6439.328,-9191.364,1089561.0,5796.46452
현대차,20260422,541000.0,-98693.007,-7044.902,22414.712,-9552.978,747125.0,4041.94625
현대차,20260421,546000.0,99145.956,-11574.654,6899.802,884.52,946609.0,5168.48514
현대차,20260420,527000.0,-103166.047,-3078.734,-6287.637,-9621.439,835506.0,4403.11662
현대차,20260417,538000.0,-66418.79,7646.594,-992.61,-3200.024,724452.0,3897.55176
현대차,20260416,534000.0,54488.292,97.188,7367.598,5579.232,1524311.0,8139.82074
현대차,20260415,508000.0,49632.108,4299.204,197.612,1238.504,867909.0,4408.97772
현대차,20260414,491500.0,5249.22,-617.8155,5376.027,-6071.991,778907.0,3828.327905
현대차,20260413,478500.0,-32246.5935,-3647.6055,-4050.024,-7398.0885,637565.0,3050.748525
현대차,20260410,489500.0,-123072.048,-12633.995,-15673.79,2781.339,814112.0,3985.07824
현대차,20260409,489500.0,-100788.5395,-2547.8475,-7545.6425,-6467.274,990889.0,4850.401655
현대차,20260408,508000.0,14076.172,-2897.632,3553.968,11604.244,1291522.0,6560.93176
현대차,20260407,473000.0,-11048.807,-7851.8,-2003.155,-1952.071,704114.0,3330.45922
현대차,20260406,469000.0,-23404.038,-27328.63,-5356.918,-936.124,553057.0,2593.83733
현대차,20260403,471000.0,16714.377,-3031.827,-6024.561,287.781,659219.0,3104.92149
현대차,20260402,465500.0,-30426.942,-19933.641,-4454.3695,-1450.498,1331860.0,6199.8083
현대차,20260401,488000.0,-3128.568,-8286.24,-612.928,-4410.056,974266.0,4754.41808
현대차,20260331,445500.0,-20121.453,-24512.301,-8519.742,2757.645,1271113.0,5662.808415
현대차,20260330,469500.0,-106568.049,-24283.479,-5211.45,-2104.7685,942256.0,4423.89192
LG에너지솔루션,20260512,443000.0,29417.858,-4558.027,-11189.294,-2701.857,668326.0,2960.68418
LG에너지솔루션,20260511,468000.0,12649.104,-6663.384,-3789.396,368.784,407574.0,1907.44632
LG에너지솔루션,20260508,476500.0,5656.5315,-2076.587,-7740.7425,-1052.112,353449.0,1684.184485
LG에너지솔루션,20260507,483000.0,6570.249,6842.661,19467.798,4553.241,463457.0,2238.49731
LG에너지솔루션,20260506,482000.0,25334.884,9708.444,7453.166,9662.654,589631.0,2842.02142
LG에너지솔루션,20260504,472000.0,7282.016,20737.32,5499.272,5335.96,425260.0,2007.2272
LG에너지솔루션,20260430,460500.0,-20893.806,3978.72,761.2065,-3488.748,485223.0,2234.451915
LG에너지솔루션,20260429,473000.0,-5395.038,10398.905,8703.673,-4217.268,306780.0,1451.0694
LG에너지솔루션,20260428,472000.0,12971.032,12881.352,-3673.576,-199.184,431570.0,2037.0104
LG에너지솔루션,20260427,464000.0,-38576.032,-4998.208,-9968.576,-8448.976,433687.0,2012.30768
LG에너지솔루션,20260424,481000.0,9079.837,14299.168,17007.679,-512.746,402718.0,1937.07358
LG에너지솔루션,20260423,466500.0,-23486.8755,16105.446,13599.8745,-1280.5425,529996.0,2472.43134
LG에너지솔루션,20260422,484500.0,-18320.3985,16979.787,14631.4155,2111.9355,880220.0,4264.6659
