날짜,db_mb,csv_mb,csv_files,total_mb
2026-04-28,0.883,0.888,9,1.771
2026-05-05,0.0,0.966,10,0.966
2026-05-12,0.973,2.008,15,2.981
2026-05-19,0.0,2.758,15,2.758
2026-05-26,0.0,11.562,15,11.562
2026-06-02,0.0,12.151,15,12.151
