거래ID,진입일,종목명,종목코드,진입순위,AI수급점수,진입유형,스윙우선순위,추천소스,진입코멘트,보유일수,청산방식,청산사유,진입가,청산일,청산가,수익률,상태
20251205_삼성전자우_D10,2025-12-05,삼성전자우,5935.0,2,25.0,주도눌림,59.47,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,80100.0,2025-12-19,83300.0,3.995,closed
20251205_삼성물산_D10,2025-12-05,삼성물산,28260.0,3,17.0,주도눌림,47.63,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,244000.0,2025-12-19,249000.0,2.0492,closed
20251205_KB금융_D5,2025-12-05,KB금융,105560.0,1,25.0,주도눌림,60.65,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,130700.0,2025-12-12,126100.0,-3.5195,closed
20251205_삼성전자우_D5,2025-12-05,삼성전자우,5935.0,2,25.0,주도눌림,59.47,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,80100.0,2025-12-12,82700.0,3.2459,closed
20251205_삼성물산_D5,2025-12-05,삼성물산,28260.0,3,17.0,주도눌림,47.63,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,244000.0,2025-12-12,255000.0,4.5082,closed
20251205_KB금융_SIGNAL,2025-12-05,KB금융,105560.0,1,25.0,주도눌림,60.65,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,3,시그널,손절,130700.0,2025-12-10,124500.0,-4.7437,closed
20251205_삼성전자우_SIGNAL,2025-12-05,삼성전자우,5935.0,2,25.0,주도눌림,59.47,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,7,시그널,스윙약화,80100.0,2025-12-16,79800.0,-0.3745,closed
20251205_삼성물산_SIGNAL,2025-12-05,삼성물산,28260.0,3,17.0,주도눌림,47.63,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,8,시그널,수급훼손,244000.0,2025-12-17,243000.0,-0.4098,closed
20251208_삼성전자우_D10,2025-12-08,삼성전자우,5935.0,1,25.0,주도눌림,60.79,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,80500.0,2025-12-22,85300.0,5.9627,closed
20251208_SK_D10,2025-12-08,SK,34730.0,2,19.0,주도눌림,46.42,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,268500.0,2025-12-22,251000.0,-6.5177,closed
