종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),추세상승,음봉매집률,시가총액,PER,ROE
롯데케미칼,011170,KOSPI,화학,화학,34,36,45.49,-1.81,상승장 (보수적 반영),96700,2.76,0.13082202639976792,0.4212127816458756,-0.036583862779228316,0.11651427086355284,0,6,109.8,2.5,69.4,208.4,True,0.0094,41364,-2.03,-15.13
엔켐,348370,KOSDAQ,전기제품,전기제품,34,36,45.31,-1.87,상승장 (보수적 반영),50600,2.33,-1.8197751014701904,-0.04658916749346081,0.32527841616307385,0.07464975647154325,0,0,123.6,19.4,64.2,44.4,True,0.0,11087,-16.05,-14.37
한화엔진,082740,KOSPI,조선,조선,34,31,58.11,3.25,상승장 (보수적 반영),76000,8.42,-0.6193174061810154,0.9709865018921475,0.5618464041311889,0.30008374802901294,0,1,148.4,14.7,85.9,95.3,True,0.0871,63420,36.5,36.6
롯데쇼핑,023530,KOSPI,백화점과일반상점,백화점과일반상점,34,35,48.09,-0.77,상승장 (보수적 반영),133000,9.2,-0.4191301323623219,0.5969420263661492,0.3086355677227302,0.2179860301934935,0,3,119.3,2.3,71.8,217.4,True,0.0065,37624,73.0,0.34
두산로보틱스,454910,KOSPI,기계,기계,34,38,40.89,-3.65,상승장 (보수적 반영),94100,2.17,0.32122268509410457,-0.008092840514132074,0.31443165781362714,0.06134244212735262,1,0,106.5,1.3,70.0,176.7,True,0.0348,60996,-109.93,-14.78
SK가스,018670,KOSPI,가스유틸리티,가스유틸리티,34,32,54.29,1.71,상승장 (보수적 반영),260000,4.63,-0.03867491378952179,0.44605710665170967,-0.21755955793759607,0.5060053595911754,4,1,103.9,0.9,53.2,203.3,False,0.0,24069,10.21,8.25
HD현대일렉트릭,267260,KOSPI,전기장비,전기장비,33,29,59.51,3.81,상승장 (보수적 반영),1248000,10.54,0.42956831337192247,0.0200475872922724,-0.038830710341700235,0.0022099060168760615,3,2,124.7,2.4,83.7,174.8,True,0.0,449868,61.41,41.5
피노,033790,KOSDAQ,전기제품,전기제품,33,35,45.51,-1.79,상승장 (보수적 반영),13390,8.33,-9.854573406147091,0.0,-0.12190248518111964,0.93860017233809,1,0,133.6,23.7,75.4,53.1,True,0.0,9110,-99.19,-7.58
에스앤에스텍,101490,KOSDAQ,반도체와반도체장비,반도체와반도체장비,33,30,57.51,3.01,상승장 (보수적 반영),104800,2.14,1.4841221208461917,0.7087668992352073,-0.006094807460083188,0.03128010197236013,1,0,112.7,5.1,68.0,116.5,True,0.0,22359,38.56,21.24
HD현대마린엔진,071970,KOSPI,조선,조선,33,30,58.51,3.41,상승장 (보수적 반영),114600,18.88,1.497830953850903,1.0637068040335442,0.14908045737510933,0.07380248237896794,2,1,137.1,10.0,87.9,288.1,True,0.1024,38874,23.55,41.36
코스맥스,192820,KOSPI,화장품,화장품,33,30,58.49,3.39,상승장 (보수적 반영),227000,3.89,0.26896305942630905,0.9461665838605752,0.07367562007530179,0.0865643248068936,4,7,113.6,3.3,72.1,147.1,True,0.1735,25763,20.94,23.86
서진시스템,178320,KOSDAQ,전기장비,전기장비,33,35,45.31,-1.87,상승장 (보수적 반영),53800,-3.58,3.075267988500359,-0.3089012358988782,-0.9065305287334772,-0.7283145323583637,0,0,112.3,33.9,68.7,83.0,True,0.0,32001,-29.89,-12.63
현대바이오,048410,KOSDAQ,화장품,화장품,33,36,41.29,-3.49,상승장 (보수적 반영),14630,3.54,-0.36562065372901764,0.013532396062044056,0.021339180536865218,-0.04079273319640201,3,0,106.2,14.5,54.8,59.6,True,0.1901,14119,-62.26,-29.47
우리기술,032820,KOSDAQ,우주항공과국방,우주항공과국방,33,35,45.69,-1.73,상승장 (보수적 반영),22900,-2.14,-2.4087662119394606,0.16243890023225543,-0.23922991756208364,-0.039244086419437996,0,0,104.9,40.7,53.6,59.6,True,0.0,39181,4580.0,0.67
KT&G,033780,KOSPI,담배,담배,33,32,52.49,0.99,상승장 (보수적 반영),176200,3.04,0.2560769657527467,-0.13849928734039396,-0.04958999851529249,-0.022223207463129765,12,1,107.0,1.2,75.1,110.3,True,0.0,202060,19.64,11.77
신영증권,001720,KOSPI,증권,증권,32,30,55.51,2.21,상승장 (보수적 반영),201000,-0.99,0.21768459629584797,0.21782947585038132,-0.04215921195981116,-0.05214582375015132,1,13,100.9,0.6,53.4,187.9,True,0.3693,33044,23.29,6.45
한화솔루션,009830,KOSPI,에너지장비및서비스,에너지장비및서비스,32,35,41.69,-3.33,상승장 (보수적 반영),49350,5.45,0.4012831195699584,0.3947377129283618,0.44161819837555555,0.4204445018802532,1,1,119.3,9.7,73.8,139.0,True,0.0,84829,-13.24,-7.01
HD현대중공업,329180,KOSPI,조선,조선,32,27,62.51,5.01,상승장 (보수적 반영),671000,4.68,-1.0800018855869031,0.2970913700322311,0.18061672535461246,0.1060848762583595,1,7,132.0,3.6,79.3,75.8,True,0.0,704290,42.73,18.82
브이엠,089970,KOSDAQ,반도체와반도체장비,반도체와반도체장비,32,28,58.91,3.57,상승장 (보수적 반영),55800,-2.28,3.565702161943914,-0.6469614483923066,-1.5400901923359274,0.18151989795918366,0,2,118.6,8.3,73.1,66.6,True,0.0,13622,54.81,17.34
태성,323280,KOSDAQ,전자장비와기기,전자장비와기기,31,35,40.69,-3.73,상승장 (보수적 반영),76500,2.96,-0.9352884855748651,-0.013857627771594898,0.17779732043489427,0.012546130468281826,0,0,131.2,10.1,71.5,66.4,True,0.0,23362,-900.0,-3.0
프로텍,053610,KOSDAQ,반도체와반도체장비,반도체와반도체장비,31,27,59.51,3.81,상승장 (보수적 반영),77900,5.41,0.08628115299334811,0.32926851441241684,0.2452659353483487,-0.04635081106313456,2,6,128.3,3.9,80.2,78.1,True,0.1793,8569,17.99,14.59
LS에코에너지,229640,KOSPI,전기장비,전기장비,31,28,58.31,3.33,상승장 (보수적 반영),63300,0.8,2.2527955199628598,-0.3590127978953884,0.15788473640771689,-0.12847557515733005,1,1,128.1,6.0,79.9,64.7,True,0.0,19386,46.07,21.43
한국타이어앤테크놀로지,161390,KOSPI,자동차부품,자동차부품,31,29,55.09,2.03,상승장 (보수적 반영),62700,-2.34,-0.022461017123728593,-0.14564215140981074,0.010990869061413673,-0.011116160679799151,0,3,106.0,1.1,61.6,106.3,True,0.0,77670,7.13,9.39
이엔에프테크놀로지,102710,KOSDAQ,반도체와반도체장비,반도체와반도체장비,31,29,55.91,2.37,상승장 (보수적 반영),62700,4.15,2.5809334561286,-0.026114863808885908,-0.17027532931457914,-1.1038271544987721,8,0,121.4,4.6,73.8,182.9,True,0.0,8958,17.25,12.29
SK,034730,KOSPI,석유와가스,석유와가스,31,32,47.69,-0.93,상승장 (보수적 반영),398500,0.5,0.5358705745129325,-0.04401983573478055,-0.00524903174894349,-0.009353312128144869,15,0,114.0,1.2,71.5,159.3,True,0.0,288923,18.23,6.35
크래프톤,259960,KOSPI,게임엔터테인먼트,게임엔터테인먼트,31,30,52.09,0.83,상승장 (보수적 반영),274500,3.0,-0.5904973065396143,0.3421336817029125,0.06683521094290326,-0.025522608161069698,0,3,109.8,1.3,63.1,156.4,True,0.0,130130,17.78,10.6
HD한국조선해양,009540,KOSPI,조선,조선,31,26,62.51,5.01,상승장 (보수적 반영),476000,3.25,-0.2652878250415578,0.14299115708857754,0.11911610662550465,0.017663767513654713,1,12,119.5,2.0,81.3,92.5,True,0.1698,336880,15.54,17.78
클래시스,214150,KOSDAQ,건강관리장비와용품,건강관리장비와용품,31,29,54.49,1.79,상승장 (보수적 반영),59400,2.95,0.40823950451612906,0.04808268387096774,-0.01164176,0.018593726451612905,5,1,108.6,1.6,66.3,188.8,True,0.0,38750,29.49,26.21
뉴로메카,348340,KOSDAQ,기계,기계,31,35,40.89,-3.65,상승장 (보수적 반영),69900,4.8,-0.8412802337692397,0.0,-1.8690478879759287,0.01466992246267793,1,0,111.5,13.4,58.5,150.3,True,0.0,8641,-35.74,-177.53
유진로봇,056080,KOSDAQ,기계,기계,31,35,40.69,-3.73,상승장 (보수적 반영),25850,5.94,-0.4678708311849025,-0.07251706197793131,-1.2064353923893987,-0.008480535217077445,0,0,104.1,7.2,52.7,498.9,True,0.0,9697,-138.98,-21.68
이오테크닉스,039030,KOSDAQ,반도체와반도체장비,반도체와반도체장비,30,27,57.51,3.01,상승장 (보수적 반영),506000,4.44,0.6261496302356546,-0.05053140991706371,0.6314551229606814,0.06266921731876735,8,2,113.3,3.1,73.0,139.6,True,0.0,62337,108.96,8.9
유진테크,084370,KOSDAQ,반도체와반도체장비,반도체와반도체장비,30,28,55.91,2.37,상승장 (보수적 반영),135500,1.27,0.9803653859779073,-0.317072258542398,-0.3183261279829957,-0.0258664133200219,0,2,107.3,4.1,66.9,100.5,True,0.0,31051,73.12,9.81
대신증권,003540,KOSPI,증권,증권,30,30,50.51,0.21,상승장 (보수적 반영),38800,-0.51,-0.2794911268785673,0.29277389642352203,0.023382285175682044,-0.08440651149395194,1,0,103.2,0.8,59.6,111.2,True,0.6393,19097,18.98,5.06
삼성SDI,006400,KOSPI,전기제품,전기제품,30,32,46.11,-1.55,상승장 (보수적 반영),641000,1.75,0.6367779772840347,0.6221828882999422,0.2225866455136259,0.12408160924435635,0,1,128.2,8.7,83.9,53.0,True,0.1376,516553,-77.0,-3.15
삼표시멘트,038500,KOSDAQ,건축자재,건축자재,30,31,46.29,-1.49,상승장 (보수적 반영),16190,2.86,0.0012146296932234433,0.01424333791208791,0.0002183356227106227,0.006433816391941393,3,0,101.9,11.4,55.3,121.4,True,0.0067,17472,42.83,5.29
RFHIC,218410,KOSDAQ,통신장비,통신장비,30,29,52.09,0.83,상승장 (보수적 반영),100200,0.1,1.4342471567632578,-0.3949468673657308,0.25622454617206,-0.22236698988987857,0,3,109.4,9.5,63.3,58.1,True,0.0,26607,92.61,8.84
피에스케이,319660,KOSDAQ,반도체와반도체장비,반도체와반도체장비,30,27,58.31,3.33,상승장 (보수적 반영),93000,6.77,1.3096947102713539,-0.7780604588143584,-1.072561884257025,0.09373310070900924,5,0,111.6,5.1,62.9,125.5,True,0.0,26939,34.29,15.54
제이에스링크,127120,KOSDAQ,생명과학도구및서비스,생명과학도구및서비스,29,32,43.09,-2.77,상승장 (보수적 반영),44000,-0.45,-0.328626648659332,1.3240931121944792,-0.06517335792871731,-0.22685982607549907,0,3,103.8,3.3,60.9,36.6,True,0.5914,15179,-73.21,-35.13
효성중공업,298040,KOSPI,전기장비,전기장비,29,26,57.91,3.17,상승장 (보수적 반영),3552000,8.69,0.3798464590227289,-0.12708126615299148,-0.2316444500132847,-0.1589159621748267,3,0,123.3,2.8,81.7,217.6,True,0.0,331208,63.71,24.41
NH투자증권,005940,KOSPI,증권,증권,29,26,58.11,3.25,상승장 (보수적 반영),35100,0.43,0.07954229754471245,0.00615110531912342,-0.05958232528762282,-0.10107646529737681,0,1,105.4,1.1,63.2,115.7,True,0.0,125077,12.15,11.76
태웅,044490,KOSDAQ,에너지장비및서비스,에너지장비및서비스,29,30,47.29,-1.09,상승장 (보수적 반영),53300,0.57,-0.3596917901350338,1.0245844758064515,-0.150850529819955,0.03914222149287322,0,2,110.1,10.9,59.6,97.3,True,0.0,10664,196.68,0.89
한국전력,015760,KOSPI,전기유틸리티,전기유틸리티,29,25,60.31,4.13,상승장 (보수적 반영),46200,0.0,-0.6279787664327836,-0.2001921073749018,-0.006837217410068546,-0.027768664169366828,0,0,105.8,1.8,62.0,67.8,True,0.0,296587,3.47,19.4
LG디스플레이,034220,KOSPI,디스플레이패널,디스플레이패널,29,31,45.69,-1.73,상승장 (보수적 반영),12770,-3.62,1.9814417699295224,-0.031561803602192635,-0.1044744010963195,0.00623910070477682,0,0,101.3,10.7,53.9,86.5,True,0.0,63850,28.19,3.44
삼양식품,003230,KOSPI,식품,식품,29,27,54.49,1.79,상승장 (보수적 반영),1315000,-2.16,-0.42186870450943376,0.26509976882463987,-0.25915168737822913,1.206891700905521,5,1,103.1,2.9,58.6,101.7,True,0.0,99059,25.44,37.59
효성티앤씨,298020,KOSPI,"섬유,의류,신발,호화품","섬유,의류,신발,호화품",29,29,49.89,-0.05,상승장 (보수적 반영),530000,0.0,-0.02433430701486681,0.64670737236779,0.1813984610018747,0.28842326808213803,1,5,115.8,4.6,76.1,101.1,True,0.216,22937,212.08,0.72
CJ제일제당,097950,KOSPI,식품,식품,29,32,42.09,-3.17,상승장 (보수적 반영),236000,-0.63,1.506606000900698,1.3506765649628463,0.3138545372663814,-0.00970492287773024,7,0,101.8,1.5,63.2,99.6,True,0.0,35528,-6.77,-7.67
피에스케이홀딩스,031980,KOSDAQ,반도체와반도체장비,반도체와반도체장비,29,25,59.71,3.89,상승장 (보수적 반영),113500,2.53,0.4722789972622891,-0.3985688881624648,0.27844100437216524,0.5959537245127283,4,2,106.4,4.8,57.5,119.2,True,0.0,24473,26.69,19.55
대한조선,439260,KOSPI,조선,조선,29,25,60.31,4.13,상승장 (보수적 반영),95300,0.21,-1.1068006945201003,-0.18890681446780694,-0.1434633511275738,-0.007539933543959037,0,0,106.4,2.6,67.9,78.5,True,0.0,36716,13.04,32.19
삼성E&A,028050,KOSPI,건설,건설,29,27,55.31,2.13,상승장 (보수적 반영),52500,4.37,-3.9047592414965986,0.5362543172983479,-0.29153581098153547,0.20412291885325556,1,1,112.1,7.6,75.9,127.1,True,0.0,102900,16.67,13.76
동국제약,086450,KOSDAQ,제약,제약,28,27,51.29,0.51,상승장 (보수적 반영),25900,5.07,-0.21820516858728126,-0.0933509901835254,0.12963279556124627,0.4562976227059326,0,2,98.0,5.4,56.7,140.6,True,0.0,11715,17.74,10.42
교보증권,030610,KOSPI,증권,증권,28,25,58.51,3.41,상승장 (보수적 반영),13970,-0.78,-0.08277282645562464,0.1850248539664594,0.007151141259971107,-0.015957210602349097,1,28,109.7,0.6,67.3,149.2,True,0.3234,15921,11.14,6.96
제룡전기,033100,KOSDAQ,전기장비,전기장비,28,25,57.31,2.93,상승장 (보수적 반영),55400,1.09,-1.0439211540622542,-0.14836629958422293,-0.16338097539049332,-0.027701758624564556,0,0,113.5,8.7,72.4,140.3,True,0.0,8899,15.16,26.93
하나금융지주,086790,KOSPI,은행,은행,28,27,53.69,1.47,상승장 (보수적 반영),123300,1.99,-0.3575151950220961,-0.023727783147844336,-0.03329392778492144,-0.0651267050946659,1,1,105.3,1.2,72.6,133.6,True,0.0,338295,8.74,9.17
동운아나텍,094170,KOSDAQ,반도체와반도체장비,반도체와반도체장비,28,28,50.71,0.29,상승장 (보수적 반영),44800,2.99,1.9637118008112724,0.0,0.03739261848847139,0.08724663748932536,2,0,131.8,5.5,74.1,45.9,True,0.0,9368,914.29,1.45
삼성증권,016360,KOSPI,증권,증권,28,25,57.31,2.93,상승장 (보수적 반영),111600,-0.18,0.4068056091271235,0.05510673897992153,-0.11787046026951907,-0.057346235663612924,0,0,107.4,1.6,68.3,82.6,True,0.0,99659,9.89,13.09
LG,003550,KOSPI,복합기업,복합기업,28,29,47.29,-1.09,상승장 (보수적 반영),96000,-1.44,0.28376756431818334,-0.19383105306883347,-0.016181570788839132,0.011912029475930916,8,0,105.5,0.7,66.3,77.8,True,0.0,148053,20.74,2.64
성호전자,043260,KOSDAQ,전기제품,전기제품,28,25,57.51,3.01,상승장 (보수적 반영),45200,-4.14,-0.8855259350531864,-0.01042039024238076,0.13866524004117667,-0.014580177496334654,1,0,97.0,12.3,50.3,79.4,True,0.0,32057,33.71,46.27
피엔티,137400,KOSDAQ,전기제품,전기제품,28,26,54.71,1.89,상승장 (보수적 반영),58300,3.55,0.8539425101361134,0.20609458079930495,0.0013612510860121633,-0.09255375036200406,2,0,112.9,9.6,64.9,58.2,True,0.0,13812,20.17,11.37
큐로셀,372320,KOSDAQ,생물공학,생물공학,27,28,48.09,-0.77,상승장 (보수적 반영),63900,5.27,-0.30938053722416997,0.031182140647556197,0.4708786760156733,-0.15503310991957106,2,0,114.0,5.6,74.1,84.4,True,0.5093,9698,-19.77,55.22
GST,083450,KOSDAQ,반도체와반도체장비,반도체와반도체장비,27,24,57.51,3.01,상승장 (보수적 반영),44400,-2.09,6.215079072467311,-0.9101425944030307,-0.12412866919222779,0.32787686056458515,1,0,127.8,12.5,85.6,75.9,True,0.0,8183,18.07,16.15
STX엔진,077970,KOSPI,조선,조선,27,24,57.31,2.93,상승장 (보수적 반영),57300,11.26,-0.3993372201695284,0.2875006346446425,0.2295233058030863,0.20559807867854815,0,0,148.9,23.2,87.4,56.9,True,0.0,23005,30.97,22.26
한솔케미칼,014680,KOSPI,화학,화학,27,27,50.49,0.19,상승장 (보수적 반영),293000,1.74,2.217612306768723,-1.2491941467807295,-1.6449241032567914,-0.17140730901996096,4,0,106.5,2.8,60.3,109.7,True,0.0,33315,22.55,14.34
KB금융,105560,KOSPI,은행,은행,27,26,53.49,1.39,상승장 (보수적 반영),157400,-0.38,-0.5177134444431192,-0.05725016877759356,-0.014718790288089124,0.0029763501781493932,0,1,102.2,1.3,60.9,121.5,True,0.0,586867,10.41,9.98
SK네트웍스,001740,KOSPI,복합기업,복합기업,27,28,47.29,-1.09,상승장 (보수적 반영),5680,3.65,-0.30558474102951705,-0.10801811997772297,-0.015397403930304717,-0.003750643647068184,4,1,106.2,2.0,59.3,304.7,True,0.0,12569,25.24,2.44
비나텍,126340,KOSDAQ,전기장비,전기장비,27,28,46.31,-1.47,상승장 (보수적 반영),133000,-0.97,-1.5034606146721399,-0.5480954952110304,1.068235512051363,0.7724842858646459,1,1,110.5,9.9,59.4,97.1,True,0.0,9501,-149.77,-7.14
LG씨엔에스,064400,KOSPI,IT서비스,IT서비스,27,25,55.69,2.27,상승장 (보수적 반영),66700,-1.62,0.05907813317239991,-0.2128267629172276,0.13478028875168285,-0.025728802438760197,0,0,106.9,2.8,61.1,79.0,True,0.0,64623,14.67,17.35
오리온,271560,KOSPI,식품,식품,27,26,53.09,1.23,상승장 (보수적 반영),141800,-2.54,0.7665625914166458,-0.32397109806999397,-0.08626136420391708,-0.07033322393064821,2,0,106.2,1.6,69.6,104.4,True,0.0,56062,14.65,10.51
현대엘리베이터,017800,KOSPI,기계,기계,27,25,55.89,2.35,상승장 (보수적 반영),96300,-0.72,0.13276584232056526,-0.15103668118790842,-0.24050480794772355,-0.23339565425277586,1,0,103.7,3.0,61.6,96.4,True,0.0,37646,14.37,20.11
LX인터내셔널,001120,KOSPI,무역회사와판매업체,무역회사와판매업체,26,26,48.89,-0.45,상승장 (보수적 반영),53600,-0.74,1.710842476534296,-0.012090324909747293,-0.15049395908543925,0.010483819494584838,1,0,107.1,2.0,63.4,84.2,True,0.0,20775,14.65,5.22
인텔리안테크,189300,KOSDAQ,통신장비,통신장비,26,27,46.49,-1.41,상승장 (보수적 반영),130400,-3.19,2.938110627053278,-0.8858559205827738,-1.3273651478360233,-0.18435537780317096,4,0,105.3,6.1,54.3,92.0,True,0.0,14002,187.63,2.81
HMM,011200,KOSPI,해운사,해운사,26,26,49.09,-0.37,상승장 (보수적 반영),21100,1.69,0.28534487591886365,-0.09424616044376781,0.034586717464815626,-0.010234615647437733,2,0,102.1,0.6,66.8,134.6,True,0.0,199023,10.79,6.9
성일하이텍,365340,KOSDAQ,전기제품,전기제품,26,28,45.31,-1.87,상승장 (보수적 반영),79900,-1.36,-0.4262098817050785,0.7355529981643891,1.1130390985111156,0.28556526616357336,0,0,116.5,4.5,81.0,43.1,True,0.1095,9806,-12.55,-46.96
코스모신소재,005070,KOSPI,화학,화학,26,29,41.49,-3.41,상승장 (보수적 반영),63200,3.1,0.9059151009908537,0.03624395483993902,0.13600598323170732,0.061785861280487804,0,1,113.4,9.3,67.7,53.4,True,0.0273,20992,-3950.0,-0.11
금호석유화학,011780,KOSPI,화학,화학,26,26,49.29,-0.29,상승장 (보수적 반영),133400,-1.84,1.2608185637663887,-1.016225753873659,-0.14348207389749704,-0.08658501191895113,3,0,103.0,1.9,61.2,123.4,True,0.0,33560,13.55,4.74
한화비전,489790,KOSPI,통신장비,통신장비,26,27,46.69,-1.33,상승장 (보수적 반영),81800,2.38,-0.07249749878934625,-0.5644952518159807,-0.3610647312348668,-0.16731761501210654,1,1,106.4,8.0,55.8,78.5,True,0.0,41300,90.59,5.4
현대제철,004020,KOSPI,철강,철강,26,29,43.09,-2.77,상승장 (보수적 반영),42500,3.03,0.24376601809077122,-0.17838763444652114,-0.022791583206968297,-0.13164328825334132,0,3,112.3,4.6,70.7,318.2,True,0.0,56714,-817.31,-0.04
우리금융지주,316140,KOSPI,은행,은행,26,25,52.69,1.07,상승장 (보수적 반영),35050,0.57,-0.4488053491336759,-0.06831054066554214,-0.032568840509300645,-0.054164177749966964,0,0,103.3,0.9,63.3,106.3,True,0.0,257294,8.3,8.91
지아이이노베이션,358570,KOSDAQ,생물공학,생물공학,26,28,44.69,-2.13,상승장 (보수적 반영),16020,1.71,0.6778290409095327,0.16049988533670198,0.1872893926732096,0.41473556602856865,0,5,116.1,6.2,59.8,111.0,True,0.0,10291,-27.57,-48.28
아모레퍼시픽홀딩스,002790,KOSPI,화장품,화장품,26,27,46.69,-1.33,상승장 (보수적 반영),30100,8.66,-0.0007711545146432606,-0.08905560093855915,-0.012812012253410967,-0.004455548796384809,1,1,108.4,0.8,61.2,368.6,True,0.0,23014,22.65,3.64
신한지주,055550,KOSPI,은행,은행,26,25,52.69,1.07,상승장 (보수적 반영),100000,0.1,-0.3355184481748811,-0.06959070881104974,0.015138817960029834,-0.004703520880472934,0,0,103.9,1.0,68.3,126.1,True,0.0,474654,9.92,8.72
리노공업,058470,KOSDAQ,반도체와반도체장비,반도체와반도체장비,25,22,57.31,2.93,상승장 (보수적 반영),124400,0.89,0.11046967028098896,-0.14363209433803056,0.6841405081849633,0.27107521728124206,0,0,111.3,4.9,70.1,121.0,True,0.0473,94808,62.39,22.45
한화에어로스페이스,012450,KOSPI,우주항공과국방,우주항공과국방,25,23,54.09,1.63,상승장 (보수적 반영),1463000,2.67,0.39781419138807994,-0.028782264211470985,-0.03497974079135918,0.017218890389767396,3,1,101.6,1.7,61.3,148.4,True,0.0,754373,51.2,19.14
한화,000880,KOSPI,복합기업,복합기업,25,26,46.29,-1.49,상승장 (보수적 반영),131100,2.34,1.1038681422822276,-0.21382101345796012,-0.09205421480808343,0.052134185815050416,3,0,107.4,1.3,69.3,129.3,True,0.0,92436,33.28,3.3
SKC,011790,KOSPI,화학,화학,25,28,41.69,-3.33,상승장 (보수적 반영),116100,4.03,1.1585123814170362,0.07798048045035824,-0.000992213715455476,0.01959953267371773,1,1,115.9,5.5,66.4,87.2,True,1.0,43965,-6.37,-73.28
알지노믹스,476830,KOSDAQ,생물공학,생물공학,25,25,50.09,0.03,상승장 (보수적 반영),185200,0.93,-0.9999853439255958,-0.7897175896144158,-0.9753407246657625,-1.3357255841891105,4,2,94.8,22.1,35.8,47.0,False,0.0,25805,-19.75,604.61
LG에너지솔루션,373220,KOSPI,전기제품,전기제품,25,25,49.51,-0.19,상승장 (보수적 반영),481000,3.11,0.1748890643602182,0.1727816887893811,0.20297537137729443,0.038932722515414825,1,5,113.8,1.6,67.5,54.8,True,0.2754,1125540,-104.91,-5.19
DN오토모티브,007340,KOSPI,자동차부품,자동차부품,25,22,56.69,2.67,상승장 (보수적 반영),42950,8.19,-0.5733811957819339,-0.005020403899721448,0.3755653163549542,0.35330374253879826,1,1,113.3,3.0,60.2,76.8,True,0.0,25130,8.93,15.02
삼성전기,009150,KOSPI,전자장비와기기,전자장비와기기,25,26,46.49,-1.41,상승장 (보수적 반영),788000,1.81,0.419594941945612,-0.15034045746925684,-0.15861769053290428,-0.07913159589252888,0,1,136.1,5.7,82.1,59.6,True,0.0,588586,86.6,7.7
원익홀딩스,030530,KOSDAQ,반도체와반도체장비,반도체와반도체장비,25,25,50.51,0.21,상승장 (보수적 반영),31850,7.97,0.25666877235772356,0.0022542093495934957,0.01768852642276423,0.0024358373983739837,1,0,109.7,7.0,58.9,365.0,True,0.0,24600,89.72,2.78
LS마린솔루션,060370,KOSDAQ,건설,건설,25,25,50.31,0.13,상승장 (보수적 반영),37900,0.0,0.5736898605990202,0.04314704530531845,-0.21963356987726654,0.06673435274508814,0,0,121.3,6.1,77.1,92.0,True,0.0,19799,192.39,2.0
iM금융지주,139130,KOSPI,은행,은행,24,25,48.69,-0.53,상승장 (보수적 반영),19100,-0.21,-0.4634578405423906,-0.19730182633071483,-0.08042125460412661,0.22899087062811696,0,0,107.1,1.8,72.2,64.7,True,0.0,30679,7.08,7.27
휴젤,145020,KOSDAQ,생물공학,생물공학,24,22,55.49,2.19,상승장 (보수적 반영),267000,2.69,0.9188909198831122,-0.06455947887495435,-0.2798787745038354,-0.02192387069280409,12,1,105.0,1.8,59.6,86.0,True,0.0,32852,23.53,16.06
팬오션,028670,KOSPI,해운사,해운사,24,25,48.69,-0.53,상승장 (보수적 반영),5630,-0.71,0.29329882293328013,-0.218983798013025,0.056442338184476346,0.09721371461323763,0,0,105.5,3.9,67.1,56.3,True,0.0,30096,9.98,5.3
씨젠,096530,KOSDAQ,생명과학도구및서비스,생명과학도구및서비스,24,26,46.09,-1.57,상승장 (보수적 반영),25000,1.21,-0.9602776079963236,-0.02932642080269608,0.0002225107230392157,-0.005201160386029412,2,0,105.2,2.9,60.1,22.5,True,0.0,13056,27.06,4.81
루닛,328130,KOSDAQ,건강관리기술,건강관리기술,24,27,41.69,-3.33,상승장 (보수적 반영),36450,1.96,1.2113667181937418,-0.03946418399850103,0.008248374554993441,-0.49199118418587223,5,0,103.3,3.5,55.3,158.3,True,0.0,10674,-23.96,-31.58
LG화학,051910,KOSPI,화학,화학,24,26,45.49,-1.81,상승장 (보수적 반영),391500,0.0,0.5361310096284316,0.05925536510969031,0.18671316790233347,0.050474438160575175,0,6,113.2,2.4,71.3,96.8,True,0.2423,276369,-16.84,-5.5
두산에너빌리티,034020,KOSPI,기계,기계,24,24,49.29,-0.29,상승장 (보수적 반영),127100,3.67,1.31770203647226,0.02465710560545745,0.10952372846381456,0.02570298187195773,2,4,122.1,4.1,78.4,109.7,True,0.0,814153,962.88,1.11
현대모비스,012330,KOSPI,자동차부품,자동차부품,24,25,48.69,-0.53,상승장 (보수적 반영),422500,-4.52,0.2851786823879273,-0.3022174829461712,-0.08756419022029764,-0.027769905698522217,0,0,103.0,1.9,53.5,154.7,True,0.0,383345,10.65,7.68
미래에셋생명,085620,KOSPI,생명보험,생명보험,24,25,46.49,-1.41,상승장 (보수적 반영),17220,-3.1,0.09292033636910388,-0.09298540682189191,0.5320376643182404,0.00454302560357419,0,1,101.3,1.2,49.9,68.1,True,0.7261,23278,26.09,5.22
온코닉테라퓨틱스,476060,KOSDAQ,제약,제약,23,22,52.89,1.15,상승장 (보수적 반영),22450,3.7,-0.9913263223181503,0.3932647266051404,0.22083142403493103,-0.09915792100823659,1,0,102.6,7.6,48.1,52.3,False,0.0,10077,62.53,24.65
농심,004370,KOSPI,식품,식품,23,23,50.49,0.19,상승장 (보수적 반영),381500,1.6,-0.5589060547295841,-0.12373372118078,-0.04087076061193708,-0.12093007972419738,1,2,102.0,1.5,62.2,71.8,True,0.0,23205,13.64,6.18
삼성에스디에스,018260,KOSPI,IT서비스,IT서비스,23,25,45.69,-1.73,상승장 (보수적 반영),169800,-4.82,-0.7344980911498767,-0.3776445017809846,0.0038457880476146984,-0.0222736437117545,0,0,104.2,2.7,56.2,172.8,True,0.0,131388,17.3,7.89
