종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),추세상승,음봉매집률,시가총액,PER,ROE
코오롱인더,120110,KOSPI,화학,화학,53,52,53.49,1.4,상승장 (보수적 반영),87400,-2.13,-0.7981439154854238,0.8125985251977228,1.0138598593970887,1.0005483589959119,0,6,103.0,6.5,58.5,70.8,True,0.1849,26173,69.15,1.01
선익시스템,171090,KOSDAQ,디스플레이장비및부품,디스플레이장비및부품,53,51,53.75,1.5,상승장 (보수적 반영),112900,7.32,-5.610384806242329,0.5724037611783273,1.9815623180782043,0.1400187532877433,0,2,121.8,21.0,64.0,62.2,True,0.141,11406,11.17,101.48
일진전기,103590,KOSPI,전기장비,전기장비,53,49,59.04,3.61,상승장 (보수적 반영),96500,5.12,0.21100156684631433,0.2262299374130737,0.30736768297983313,0.06488596140472878,8,5,119.2,5.9,75.7,259.0,True,0.0901,46016,44.29,19.08
성광벤드,014620,KOSDAQ,기계,기계,52,53,48.1,-0.76,상승장 (보수적 반영),47550,19.02,-0.06998936094393411,0.8217367556224264,0.1972414119417168,0.07169728381374722,4,1,122.5,10.4,81.8,1003.8,True,0.0,12628,37.44,6.45
대덕전자,353200,KOSPI,전자장비와기기,PCB;반도체,52,51,52.6,1.04,상승장 (보수적 반영),115200,16.48,2.080568143971332,0.0755248050168634,-0.2645011453063519,0.6759804806070827,2,0,128.3,13.9,72.3,194.6,True,0.0,56928,124.68,5.37
심텍,222800,KOSDAQ,전자장비와기기,전자장비와기기,52,54,45.23,-1.91,상승장 (보수적 반영),88900,4.96,1.009711984516673,1.5627056586438532,1.1305920384372081,0.1611345317347953,1,1,132.6,10.8,80.8,87.9,True,0.0473,33197,-17.94,-32.1
ISC,095340,KOSDAQ,반도체와반도체장비,반도체와반도체장비,51,50,53.16,1.26,상승장 (보수적 반영),235000,2.62,-2.0344392026177904,-1.0535804609238553,3.8234282315861323,0.5856546483849597,1,0,98.6,5.4,47.3,79.0,False,1.0,49813,88.75,10.6
엘앤에프,066970,KOSPI,전기제품,전기제품,51,51,48.87,-0.45,상승장 (보수적 반영),198500,4.97,0.06766342932100694,1.3249214691735898,0.3109585233306265,-0.04798629770753951,1,6,112.5,10.9,67.5,84.0,True,0.0,80045,-13.79,-76.95
DL이앤씨,375500,KOSPI,건설,건설,51,49,54.56,1.82,상승장 (보수적 반영),99000,1.43,-4.243211044978724,3.6707814785809383,0.21404280157673533,0.2478210692562717,1,0,111.8,16.7,71.4,111.0,True,0.3537,38307,11.48,7.34
HD현대에너지솔루션,322000,KOSPI,에너지장비및서비스,에너지장비및서비스,51,50,53.28,1.31,상승장 (보수적 반영),191000,6.29,0.5435722980553478,0.6394620699326851,-0.14640417913238593,0.5310021690351534,1,6,116.1,54.3,69.9,148.8,True,0.0,21392,51.33,10.59
테스,095610,KOSDAQ,반도체와반도체장비,반도체와반도체장비,50,48,56.1,2.44,상승장 (보수적 반영),89700,0.11,0.7074831912933318,0.2638036162616607,3.5030319647587236,0.34887823908787285,7,0,117.4,9.1,78.1,45.3,True,0.0,17366,31.09,15.76
대주전자재료,078600,KOSDAQ,전자장비와기기,전자장비와기기,50,50,50.9,0.36,상승장 (보수적 반영),182800,29.65,0.8564230931830192,0.2747231530738066,-0.5035470107451119,0.5179862462568258,0,2,140.8,20.9,72.5,471.3,True,0.0,28385,136.93,8.6
비츠로셀,082920,KOSDAQ,전기제품,전기제품,49,47,55.68,2.27,상승장 (보수적 반영),57200,9.79,-0.5718618859412354,-0.5861785879540371,1.237926677334773,1.9119762724608622,4,0,123.7,7.9,71.6,75.4,True,0.0,25934,45.54,18.56
LG이노텍,011070,KOSPI,전자장비와기기,전자장비와기기,48,48,50.48,0.19,상승장 (보수적 반영),542000,8.4,-1.7922726036047272,1.2199029826312016,0.9146492874738845,0.4256041153450373,0,11,142.8,7.7,82.7,141.7,True,0.1759,128276,37.59,6.14
OCI,456040,KOSPI,화학,태양광;신재생,48,50,46.21,-1.51,상승장 (보수적 반영),145500,6.05,0.24937902656226008,0.7470029633041609,-0.21893797021341932,-0.04588213572854292,0,3,144.6,23.6,81.0,277.2,True,0.2764,13026,-20.8,-5.37
로보티즈,108490,KOSDAQ,기계,로봇;자동화,48,49,47.68,-0.93,상승장 (보수적 반영),292500,9.55,-0.041043641537600296,0.45967966271692484,-0.031248892050755737,0.1363627075947005,1,1,113.1,10.7,63.3,191.1,True,0.0,42872,775.86,2.49
테크윙,089030,KOSDAQ,반도체와반도체장비,반도체와반도체장비,48,47,51.82,0.73,상승장 (보수적 반영),61800,12.36,0.7689674767457094,-0.020488861959037513,-0.004064153456482816,-0.32677364513734225,1,1,117.6,23.8,69.2,507.7,True,0.0,22899,245.24,4.63
네오셈,253590,KOSDAQ,반도체와반도체장비,반도체와반도체장비,48,47,51.97,0.79,상승장 (보수적 반영),18820,6.93,0.8188292926356588,0.09851354166666668,-0.5117364740794573,-0.29332723110465114,1,1,114.8,16.1,65.7,344.4,True,0.0,8256,154.26,4.55
후성,093370,KOSPI,화학,화학,48,49,48.1,-0.76,상승장 (보수적 반영),13090,-4.52,-3.3343579814814817,0.7079884722222222,0.8385185541310541,0.7010855327635328,0,2,122.5,21.1,70.7,28.6,True,0.0,14040,261.8,1.61
레이크머티리얼즈,281740,KOSDAQ,화학,화학,47,47,49.78,-0.09,상승장 (보수적 반영),24100,1.26,-0.7774024386086738,0.07998781831955054,0.6074085089325169,0.09458802032699956,0,5,113.7,16.9,65.0,54.3,True,0.2026,15841,205.98,5.8
지투지바이오,456160,KOSDAQ,제약,제약,47,46,52.72,1.09,상승장 (보수적 반영),81400,-0.12,-0.5777667730917732,0.8166174042174043,-0.2240595931095931,0.5905147757647757,0,4,113.3,11.6,60.7,69.1,True,0.0,13468,-95.2,39.5
씨에스윈드,112610,KOSPI,에너지장비및서비스,에너지장비및서비스,47,48,48.01,-0.79,상승장 (보수적 반영),73200,6.4,1.8900148660468432,1.5419969743107973,0.2591874048398069,-0.3304219670219314,1,4,110.1,7.6,60.5,188.9,True,0.0,30869,88.94,3.02
이수스페셜티케미컬,457190,KOSPI,화학,화학,47,46,51.39,0.56,상승장 (보수적 반영),121600,0.91,0.2082061965928264,0.38584211342731184,0.21198080063136124,-0.09264986665215261,0,6,117.7,13.1,68.0,47.1,True,0.0445,36746,4864.0,0.61
아주IB투자,027360,KOSDAQ,창업투자,창업투자,47,48,47.12,-1.15,상승장 (보수적 반영),18720,28.31,3.341810750948055,0.0,0.0019536356821589205,0.002475657024428962,1,0,174.4,76.3,81.4,161.1,True,0.0,22678,271.3,3.15
실리콘투,257720,KOSDAQ,인터넷과카탈로그소매,인터넷과카탈로그소매,47,46,52.3,0.92,상승장 (보수적 반영),48800,1.99,0.11659704039930323,0.09105012226986466,1.789821898030283,0.7828455011389521,3,0,111.8,5.8,78.4,128.7,True,0.3865,29852,18.7,46.89
에이디테크놀로지,200710,KOSDAQ,반도체와반도체장비,반도체와반도체장비,47,46,51.67,0.67,상승장 (보수적 반영),60500,10.6,-0.3113809330877839,-0.8014696623695519,2.0343703867403313,-0.44479113566605283,1,1,113.9,13.0,57.9,217.3,True,0.0,8145,225.75,2.71
천보,278280,KOSDAQ,전기제품,전기제품,47,48,47.56,-0.98,상승장 (보수적 반영),67600,0.75,-0.5308065629228688,0.6128661212941321,1.2221604379382458,-0.1194707528601304,2,1,115.1,10.1,70.9,53.1,True,0.0,8129,-11.84,-14.64
HJ중공업,097230,KOSPI,건설,건설,46,44,54.33,1.73,상승장 (보수적 반영),32050,-1.84,3.2611653939184517,0.1081868382861092,0.24553731340704907,0.2917313838977194,0,1,121.6,29.1,72.5,61.3,True,0.0399,28940,52.98,10.15
에코프로머티,450080,KOSPI,전기제품,전기제품,45,44,52.52,1.01,상승장 (보수적 반영),82900,6.42,-2.0086345750773598,0.48475566649000734,-0.04920934812712633,0.03391354350093174,1,6,112.1,19.4,60.9,76.9,True,0.0,58493,253.52,2.56
HPSP,403870,KOSDAQ,반도체와반도체장비,반도체와반도체장비,45,42,56.52,2.61,상승장 (보수적 반영),53400,4.71,1.7917874886229181,-0.12625127878401748,0.1966128879584964,0.07164721489032494,2,2,119.9,29.6,68.2,144.2,True,0.0,43948,61.38,24.79
에스피지,058610,KOSDAQ,전기제품,전기제품,45,45,50.51,0.21,상승장 (보수적 반영),118900,4.48,-0.44421662179073906,-0.22045518222154806,-1.094204509082635,0.016059630626872465,1,0,107.5,6.1,61.3,171.4,True,0.0,26369,288.59,3.57
케이뱅크,279570,KOSPI,은행,은행,45,45,50.89,0.35,상승장 (보수적 반영),6510,2.36,0.3656537628260952,0.2139783143387225,0.020397995532164627,-0.07655255120972322,1,7,104.8,2.7,60.5,204.0,True,0.0603,26411,21.7,5.4
두산퓨얼셀,336260,KOSPI,전기제품,전기제품,45,46,46.91,-1.23,상승장 (보수적 반영),50500,5.87,2.5189531837697285,0.12594591522041482,0.6973364364757816,-0.0636170844167624,4,1,125.0,8.7,69.8,166.8,True,0.0,33074,-31.12,-30.66
달바글로벌,483650,KOSPI,화장품,화장품,44,40,59.09,3.63,상승장 (보수적 반영),241000,5.01,2.8101481569520237,1.2534347417054472,1.6635611670963206,1.4463457464260605,7,14,133.7,9.9,86.6,101.5,True,0.1228,29869,36.52,52.59
코미코,183300,KOSDAQ,반도체와반도체장비,반도체와반도체장비,44,40,60.51,4.21,상승장 (보수적 반영),149800,0.2,0.015438372686662412,0.4826296681557115,1.625147555839183,0.619340178685386,0,4,114.4,4.7,78.9,75.3,True,0.482,15670,31.43,18.52
주성엔지니어링,036930,KOSDAQ,반도체와반도체장비,반도체와반도체장비,44,44,51.11,0.45,상승장 (보수적 반영),123900,6.63,2.7969639051918733,0.31732886785900327,0.3513482062858135,0.10758426115645078,0,1,160.8,65.3,80.5,65.1,True,0.0,57590,164.11,6.17
와이씨,232140,KOSDAQ,반도체와반도체장비,반도체와반도체장비,44,43,51.51,0.61,상승장 (보수적 반영),23300,10.95,1.8332253878746665,-0.05141859496782968,0.4808585881675995,0.006738534811947481,6,0,121.6,9.4,73.1,493.9,True,0.0,19117,99.15,5.56
쏠리드,050890,KOSDAQ,통신장비,통신장비,43,42,53.49,1.39,상승장 (보수적 반영),16430,-0.24,-1.063115147265077,-0.38551688038469245,-0.31751062312161893,0.02576475255459828,3,4,103.5,38.4,59.1,35.5,True,0.0,9982,27.52,10.8
한국콜마,161890,KOSPI,화장품,화장품,43,41,54.69,1.87,상승장 (보수적 반영),91600,4.09,-1.0929585514753493,2.09363828970493,0.4545777818888169,0.6563270465266857,0,26,112.8,4.0,77.1,131.1,True,0.4302,21622,17.29,14.69
LIG디펜스앤에어로스페이스,079550,KOSPI,우주항공과국방,우주항공과국방,43,41,54.49,1.79,상승장 (보수적 반영),989000,2.38,0.14654733890982627,0.069173821123265,0.1848258341759353,0.16507106811287803,1,2,114.1,11.1,68.1,71.7,True,0.0,217580,85.88,19.2
에프에스티,036810,KOSDAQ,반도체와반도체장비,반도체와반도체장비,41,43,46.11,-1.55,상승장 (보수적 반영),45850,4.56,0.4691965242796695,-0.07269407112633489,-0.14259234334072132,0.8929518537175095,4,0,112.0,5.4,65.8,172.8,True,0.0,9926,-82.46,-5.05
코웨이,021240,KOSPI,가정용기기와용품,가정용기기와용품,41,38,57.29,2.91,상승장 (보수적 반영),85900,7.91,-1.8569436411192815,0.618551813650496,0.09729367813255688,1.1902042951849843,0,2,110.1,3.2,73.4,162.5,True,0.0,60789,10.04,18.14
OCI홀딩스,010060,KOSPI,화학,태양광;신재생,41,45,40.89,-3.65,상승장 (보수적 반영),384000,19.25,-0.717506501241387,-0.3472237216503473,-0.165409781850643,0.48908532931626075,1,0,160.3,18.7,79.7,204.8,True,0.0,71694,-80.47,-2.27
덕산하이메탈,077360,KOSDAQ,반도체와반도체장비,반도체와반도체장비,41,42,46.91,-1.23,상승장 (보수적 반영),17700,3.69,0.26691060432728175,1.9075651392688384,-0.7649166662521761,0.36465748445660284,0,2,132.6,40.6,77.0,81.4,True,0.0,8042,-7.59,-40.79
한국가스공사,036460,KOSPI,가스유틸리티,가스유틸리티,41,41,48.89,-0.45,상승장 (보수적 반영),38400,2.54,0.3213423987248928,0.08109882503949448,-0.16450837282780412,-0.027897235387045815,4,3,106.4,1.4,68.4,157.7,True,0.0,35448,26.65,1.23
한국카본,017960,KOSPI,조선,조선,40,37,58.31,3.33,상승장 (보수적 반영),50800,-1.36,0.4407135665336245,0.7749563427215905,-0.5600556028315385,-0.20859548535281272,5,0,108.3,5.7,68.4,159.1,True,0.0,26558,25.92,19.3
TIME 미국나스닥100액티브,426030,KOSPI,분류안됨,분류안됨,40,43,41.49,-3.41,상승장 (보수적 반영),45800,1.6,-0.005832767072825163,0.7718386625106263,0.10817467023236044,0.34170680752337773,4,0,110.9,12.2,81.7,105.8,True,0.1098,14116,0.0,0.0
가온칩스,399720,KOSDAQ,반도체와반도체장비,반도체와반도체장비,40,41,47.71,-0.91,상승장 (보수적 반영),71200,3.64,0.940905182225451,0.6186971667272066,-0.1699849739677927,-0.04284321346409977,4,2,113.1,7.9,65.3,228.2,True,0.0,8259,-57.47,-23.17
산일전기,062040,KOSPI,전기장비,전기장비,39,35,59.91,3.97,상승장 (보수적 반영),222000,4.96,0.035610209366310125,0.9406221828240175,0.03816205658628452,0.20998997601777333,1,3,130.9,6.5,78.9,100.0,True,0.0,67967,45.39,29.21
원익QnC,074600,KOSDAQ,반도체와반도체장비,반도체와반도체장비,39,38,51.71,0.69,상승장 (보수적 반영),38950,6.28,2.8252715157730246,-0.6400065729075105,-0.34713933977927536,0.04034429631799981,7,0,117.0,8.7,73.1,242.7,True,0.0,10239,45.5,4.73
하나마이크론,067310,KOSDAQ,반도체와반도체장비,반도체와반도체장비,39,37,55.31,2.13,상승장 (보수적 반영),40300,6.05,4.249131319768527,-0.02454817808474893,-0.5325044894530521,-0.008781226432704873,1,1,122.4,29.9,71.4,115.1,True,0.0,26785,70.09,9.89
동진쎄미켐,005290,KOSDAQ,반도체와반도체장비,반도체와반도체장비,39,37,55.51,2.21,상승장 (보수적 반영),63200,4.81,4.877659931064197,0.367802551240229,-4.241174855357912,-0.8019408475410845,2,1,123.1,13.5,76.3,102.1,True,0.0,32494,32.8,9.52
한화투자증권,003530,KOSPI,증권,증권,38,37,51.31,0.53,상승장 (보수적 반영),7720,0.39,0.5745545794843929,0.11408691118758678,-0.14862763448650607,-0.18247041357242047,1,1,107.5,5.8,60.0,95.5,True,0.0,16563,16.6,5.41
이수페타시스,007660,KOSPI,전자장비와기기,전자장비와기기,38,37,53.69,1.47,상승장 (보수적 반영),153400,2.13,2.248661595773022,0.19310644170144747,-0.679759156380428,0.009219706065180711,1,1,126.7,21.2,70.9,42.7,True,0.0,112610,67.97,29.64
기가비스,420770,KOSDAQ,반도체와반도체장비,반도체와반도체장비,38,37,51.31,0.53,상승장 (보수적 반영),100200,9.39,-0.9172183528855996,1.0012741358948114,0.5402301393591056,0.4082693331233761,1,1,116.8,7.6,72.6,147.9,True,0.6471,12701,82.2,7.42
HD현대마린솔루션,443060,KOSPI,조선,조선,38,34,60.51,4.21,상승장 (보수적 반영),253500,11.18,-0.9571290093530307,0.4594867931334853,0.0774951387116926,0.24441191873509718,0,4,131.6,8.3,78.2,85.4,True,0.0238,113653,42.16,33.73
미래에셋벤처투자,100790,KOSDAQ,창업투자,창업투자,38,38,49.69,-0.13,상승장 (보수적 반영),62400,5.76,0.19427146304675716,-0.11635704826546003,0.4686401930618401,-0.01242490648567119,0,0,167.7,71.2,82.4,63.3,True,0.0,33150,107.22,8.47
현대로템,064350,KOSPI,우주항공과국방,우주항공과국방,38,36,55.29,2.11,상승장 (보수적 반영),233000,-1.06,1.2054559913016807,0.22630954888282437,0.48729399965395476,0.07565827834621827,1,3,111.0,4.9,74.4,243.7,True,0.1009,254302,33.03,30.05
태광,023160,KOSDAQ,기계,기계,37,37,50.49,0.19,상승장 (보수적 반영),47000,6.7,0.19312446126007568,0.7892069295936832,-0.6280546019082085,-0.24967112189504853,4,0,110.4,8.6,72.0,592.7,True,0.0,12158,19.5,10.73
SFA반도체,036540,KOSDAQ,반도체와반도체장비,반도체와반도체장비,37,38,46.91,-1.23,상승장 (보수적 반영),9640,22.18,4.227598878516463,0.05444353286236912,0.07066297968966821,-0.04112653021319541,4,1,137.3,40.1,86.2,936.7,True,0.0,15854,-83.1,-3.93
코리아써키트,007810,KOSPI,전자장비와기기,전자장비와기기,37,36,52.29,0.91,상승장 (보수적 반영),97900,7.35,-0.990567562502662,1.073028263554666,0.5758109928020785,-0.1953677626815452,1,3,119.4,6.6,65.7,130.9,True,0.0,23479,56.72,11.54
