날짜,상위N,평균테마가점,P90테마가점,지배테마,지배테마비중,완화강도,완화종목수,VIX
2026-04-25,40,0.601,1.604,2차전지;소재,0.075,0.0,0,18.71
2026-04-27,40,1.28,3.2,반도체와반도체장비,0.125,0.0,0,19.05
